Session	Time	Date	Author	Event	Parameter	Details
2	57	2014-02-25 16:48:30	262	eComposition	262	edit/2123
2	180	2014-02-25 16:48:37	268	awareness	NA	NA
3	113	2014-02-25 16:48:45	265	eComposition	263	edit/2131
2	33	2014-02-25 16:49:03	262	eComposition	262	delete/2123
3	26	2014-02-25 16:49:11	265	eComposition	263	add/2132
2	15	2014-02-25 16:49:18	262	eComposition	262	add/2133
2	7	2014-02-25 16:49:25	262	eComposition	262	add/2134
2	3	2014-02-25 16:49:28	262	eComposition	262	delete/2134
2	18	2014-02-25 16:49:46	262	eComposition	262	delete/2133
3	46	2014-02-25 16:49:57	265	eComposition	263	order
2	15	2014-02-25 16:50:01	262	eComposition	262	delete/2121
2	3	2014-02-25 16:50:04	262	eComposition	262	add/2135
1	153	2014-02-25 16:50:20	267	eComposition	265	add/2136
2	18	2014-02-25 16:50:22	262	eComposition	262	edit/2135
1	10	2014-02-25 16:50:30	267	eComposition	265	visible/2136
1	1	2014-02-25 16:50:31	267	eComposition	265	visible/2136
1	2	2014-02-25 16:50:33	267	eComposition	265	delete/2136
3	40	2014-02-25 16:50:37	265	eComposition	263	edit/2132
2	15	2014-02-25 16:50:37	262	eComposition	262	edit/2135
1	13	2014-02-25 16:50:46	267	eComposition	265	add/2137
1	10	2014-02-25 16:50:56	267	eComposition	265	order
2	322	2014-02-25 16:51:03	264	eComposition	264	edit/2129
2	34	2014-02-25 16:51:11	262	eComposition	262	add/2138
11	336	2014-02-25 16:51:13	1	eComposition	261	edit/2127
1	19	2014-02-25 16:51:15	267	eComposition	265	edit/2137
3	38	2014-02-25 16:51:15	265	eComposition	263	edit/2131
11	3	2014-02-25 16:51:16	1	eComposition	261	order
3	2	2014-02-25 16:51:17	265	eComposition	263	order
2	41	2014-02-25 16:51:52	262	eComposition	262	edit/2138
2	57	2014-02-25 16:52:00	264	eComposition	264	edit/2129
2	10	2014-02-25 16:52:02	262	eComposition	262	edit/2135
3	52	2014-02-25 16:52:09	265	eComposition	263	edit/2131
2	43	2014-02-25 16:52:43	264	eComposition	264	edit/2114
2	1	2014-02-25 16:52:44	264	eComposition	264	edit/2114
2	1	2014-02-25 16:52:45	264	eComposition	264	edit/2114
2	2	2014-02-25 16:52:47	264	eComposition	264	edit/2114
3	39	2014-02-25 16:52:48	265	eComposition	263	edit/2131
2	1	2014-02-25 16:52:48	264	eComposition	264	edit/2114
2	2	2014-02-25 16:52:50	264	eComposition	264	edit/2114
2	0	2014-02-25 16:52:50	264	eComposition	264	edit/2114
2	1	2014-02-25 16:52:51	264	eComposition	264	edit/2114
2	28	2014-02-25 16:53:19	264	eComposition	264	edit/2114
2	4	2014-02-25 16:53:23	264	eComposition	264	order
2	20	2014-02-25 16:53:43	264	eComposition	264	edit/2114
2	9	2014-02-25 16:53:52	264	eComposition	264	edit/2114
3	84	2014-02-25 16:54:12	265	eComposition	263	order
3	26	2014-02-25 16:54:38	265	eComposition	263	edit/2113
3	2	2014-02-25 16:54:40	265	eComposition	263	edit/2113
2	75	2014-02-25 16:55:07	264	eComposition	264	delete/2114
2	2	2014-02-25 16:55:09	264	eComposition	264	add/2139
2	6	2014-02-25 16:55:15	264	eComposition	264	edit/2139
2	6	2014-02-25 16:55:21	264	eComposition	264	edit/2139
2	1	2014-02-25 16:55:22	264	eComposition	264	edit/2139
1	253	2014-02-25 16:55:28	267	eComposition	265	visible/2116
1	22	2014-02-25 16:55:50	267	eComposition	265	visible/2116
11	834	2014-02-25 17:05:10	1	awareness	NA	NA
11	483	2014-02-25 17:13:13	1	pScript	326	NA
11	47	2014-02-25 17:14:00	1	vComposition	262	NA
11	19	2014-02-25 17:14:19	1	vComposition	264	NA
11	13	2014-02-25 17:14:32	1	vComposition	263	NA
11	29	2014-02-25 17:15:01	1	vComposition	265	NA
12	0	2014-02-25 17:55:28	1	awareness	NA	NA
12	12	2014-02-25 17:55:40	1	eComposition	261	add/2140
12	2	2014-02-25 17:55:42	1	eComposition	261	order
12	139	2014-02-25 17:58:01	1	eComposition	261	add/2141
12	225	2014-02-25 18:01:46	1	eComposition	261	add/2142
12	9	2014-02-25 18:01:55	1	eComposition	261	order
12	51	2014-02-25 18:02:46	1	eComposition	261	edit/2142
